pl_name,hostname,pl_orbper,pl_tranmid,pl_tranmiderr1
Kepler-1167 b,Kepler-1167,1.003933739,2454965.09731,0.00249
Kepler-1740 b,Kepler-1740,8.172400475,2455194.20248,0.00221
Kepler-1581 b,Kepler-1581,6.28385491,2454966.19997,0.00564
Kepler-644 b,Kepler-644,3.173917103,2455003.92435,0.00104
Kepler-1752 b,Kepler-1752,56.35850143,2455055.2901,0.0036
Kepler-280 c,Kepler-280,4.807091,2454967.64249,0.00104
Kepler-1208 b,Kepler-1208,11.08507637,2455188.03662,0.00323
Kepler-263 c,Kepler-263,47.332773,2454984.4095,0.00572
Kepler-1101 b,Kepler-1101,81.3151059,2455008.99732,0.00539
HD 168746 b,HD 168746,6.404,2454986.88,0.061
K2-19 b,K2-19,7.9222,2456860.9023,0.0002
Kepler-560 b,Kepler-560,18.47764449,2455018.26856,0.000613
Kepler-150 d,Kepler-150,12.56093,2454999.79588,0.00158
Kepler-498 b,Kepler-498,9.61375356,2454965.18509,0.00101
Kepler-817 b,Kepler-817,3.990106229,2455188.840733,0.000245
Kepler-937 b,Kepler-937,67.668827,2455031.19646,0.00639
K2-10 b,K2-10,19.30553,2456819.57944,0.00089
Kepler-571 b,Kepler-571,4.798599388,2455006.257757,0.000852
Kepler-1458 b,Kepler-1458,47.9872764,2454993.65081,0.00329
K2-335 b,K2-335,12.283211,2457148.209626,0.0027
Kepler-1600 c,Kepler-1600,7.298049927,2454970.85674,0.00629
Kepler-221 d,Kepler-221,10.04156,2454970.08456,0.0006
Kepler-626 b,Kepler-626,14.48585199,2455008.00558,0.00132
Kepler-1549 b,Kepler-1549,214.886545,2455046.387,0.0119
K2-62 c,K2-62,16.19697,2456991.5453,0.0013
Kepler-1149 b,Kepler-1149,3.73089898,2454965.89466,0.00357
Kepler-1288 b,Kepler-1288,2.76122421,2454964.61013,0.00416
Kepler-128 b,Kepler-128,15.0,2455008.95561,0.00229
Kepler-1245 b,Kepler-1245,4.35409304,2454965.85275,0.00384
Kepler-1068 b,Kepler-1068,16.92344113,2454978.81211,0.00257
Kepler-311 c,Kepler-311,19.738286,2454966.28529,0.0065
Kepler-150 e,Kepler-150,30.826557,2454986.01043,0.00373
Kepler-272 c,Kepler-272,6.057342,2454968.92549,0.00309
Kepler-152 c,Kepler-152,88.255055,2454986.78027,0.00195
Kepler-1506 b,Kepler-1506,14.0329154,2454971.0626,0.0183
CoRoT-3 b,CoRoT-3,4.2568,2454283.1383,0.0003
HD 205739 b,HD 205739,279.8,,
NGTS-10 b,NGTS-10,0.7668944,2457518.84377,0.00017
HD 224693 b,HD 224693,26.6904,,
HD 156279 b,HD 156279,133.40355,2455464.94,0.12
HD 12661 b,HD 12661,262.70862,2456079.28,0.66
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,,
HD 16417 b,HD 16417,17.24,,
HD 19994 b,HD 19994,466.2,,
HD 156279 c,HD 156279,4818.25358,2455834.7,3.1
GJ 179 b,GJ 179,2288.0,2454876.0,35.0
GQ Lup b,GQ Lup,,,
GJ 832 b,GJ 832,3853.0,,
HD 37605 b,HD 37605,55.01292,,
HD 33283 b,HD 33283,18.1991,,
HD 9446 b,HD 9446,30.052,,
HD 134987 c,HD 134987,5000.0,2455060.0,140.0
HD 110014 b,HD 110014,835.477,,
HD 79498 b,HD 79498,1807.0,,
HD 45652 b,HD 45652,44.073,,
HIP 79431 b,HIP 79431,111.7,,
HD 3167 b,HD 3167,0.959641,2457394.37454,0.00043
GJ 876 b,GJ 876,61.1166,2453055.984,0.038
HD 114783 c,HD 114783,4352.0,2454959.0,90.0
HD 47186 c,HD 47186,1353.6,,
HD 114783 b,HD 114783,493.7,2455283.8,2.7
HD 148156 b,HD 148156,1027.0,,
HD 12661 c,HD 12661,1708.0,2455774.9,7.4
HIP 14810 c,HIP 14810,147.747,,
HIP 14810 b,HIP 14810,6.673892,,
GJ 876 d,GJ 876,1.93778,2455200.064,0.047
GJ 876 e,GJ 876,124.26,,
gam1 Leo b,gam1 Leo,428.5,,
HD 156411 b,HD 156411,842.2,,
HD 8535 b,HD 8535,1313.0,,
HD 37605 c,HD 37605,2720.0,,
HD 1605 c,HD 1605,2149.0,,
BD+20 2457 b,BD+20 2457,379.63,,
HD 240210 b,HD 240210,501.75,,
CoRoT-17 b,CoRoT-17,3.7681,2454923.3093,0.0036
HD 132563 b,HD 132563,1544.0,,
HD 55696 b,HD 55696,1827.0,,
HD 148164 b,HD 148164,328.55,,
24 Sex c,24 Sex,883.0,,
HD 22781 b,HD 22781,528.07,,
HD 68988 b,HD 68988,6.27711,2451549.717,0.005
HD 148164 c,HD 148164,5062.0,,
HD 29985 b,HD 29985,20608.14049,,
HD 3167 c,HD 3167,29.8454,2457394.9788,0.0012
HD 90156 b,HD 90156,49.77,2455169.3,2.3
HD 45350 b,HD 45350,963.6,2453802.1,4.8
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,2800.0,,
Kepler-595 c,Kepler-595,12.38602,2454965.8175,0.0105
Kepler-595 b,Kepler-595,25.3029092,2455021.06015,0.0009
HD 177830 c,HD 177830,110.9,2455177.0,2.5
OGLE-TR-111 b,OGLE-TR-111,4.0144463,2454092.80717,0.00016
